,Centro_Communal,Oriente,system:time_start
0,-0.05088339222614833,-0.26946847960445,2018-12-31 19:00:00
1,-0.24823321554770317,0.24412855377008644,2019-01-07 19:00:00
2,0.16607773851590105,0.20704573547589608,2019-01-14 19:00:00
3,0.21554770318021202,0.11016687268232378,2019-01-21 19:00:00
4,-0.08430085815244817,0.07725587144622983,2019-01-28 19:00:00
5,0.016153457849570868,-0.12438195302843022,2019-02-04 19:00:00
6,0.16537102473498239,0.1399876390605686,2019-02-11 19:00:00
7,0.3003533568904594,0.1796044499381953,2019-02-18 19:00:00
8,-0.38869257950530034,0.050679851668726676,2019-02-25 19:00:00
9,0.04063604240282685,0.10460444993819523,2019-03-04 19:00:00
10,0.13191990577149582,0.09950556242274405,2019-03-11 20:00:00
11,0.257243816254417,-0.003955500618046957,2019-03-18 20:00:00
12,-0.038162544169611345,-0.033250927070457466,2019-03-25 20:00:00
13,0.0586572438162545,-0.031396786155747945,2019-04-01 20:00:00
14,0.029151943462897525,-0.14412855377008654,2019-04-08 20:00:00
15,0.012720848056537183,0.12731767614338682,2019-04-15 20:00:00
16,-0.1929328621908127,-0.14227441285537704,2019-04-22 20:00:00
17,,,2019-04-29 20:00:00
18,,,2019-05-06 20:00:00
19,,,2019-05-13 20:00:00
20,,,2019-05-20 20:00:00
21,,,2019-05-27 20:00:00
22,0.03462897526501771,-0.028430160692212676,2019-06-03 20:00:00
23,-0.0035335689045936395,-0.1044499381953029,2019-06-10 20:00:00
24,-0.06124852767962302,-0.12051915945611877,2019-06-17 20:00:00
25,0.3981154299175501,0.0,2019-06-24 20:00:00
26,0.15830388692579508,0.06316440049443746,2019-07-01 20:00:00
27,-0.14840989399293286,-0.18850432632880101,2019-07-08 20:00:00
28,-0.2332155477031802,0.04017305315203948,2019-07-15 20:00:00
29,,,2019-07-22 20:00:00
30,0.07243816254416961,-0.015451174289246052,2019-07-29 20:00:00
31,0.19434628975265017,0.07262051915945604,2019-08-05 20:00:00
32,0.22968197879858657,-0.20920889987639066,2019-08-12 20:00:00
33,0.4475853945818611,0.22991347342398022,2019-08-19 20:00:00
34,-0.016489988221437053,-0.15228677379480848,2019-08-26 20:00:00
35,,,2019-09-02 20:00:00
36,0.007067137809187279,0.008652657601977679,2019-09-09 20:00:00
37,0.038869257950530034,-0.0664400494437578,2019-09-16 20:00:00
38,-0.1166077738515901,0.16718170580964145,2019-09-23 20:00:00
39,-0.061837455830388695,0.018850432632880026,2019-09-30 20:00:00
40,-0.4929328621908127,-0.05006180469715698,2019-10-07 20:00:00
41,-0.007950530035335688,0.16022867737948077,2019-10-14 20:00:00
42,0.0,0.30531520395550055,2019-10-21 20:00:00
43,-0.061837455830388695,-0.4762051915945612,2019-10-28 20:00:00
44,-0.23851590106007067,-0.015451174289246052,2019-11-04 19:00:00
45,-0.07950530035335689,0.11063040791100116,2019-11-11 19:00:00
46,-0.2826855123674912,0.01606922126081575,2019-11-18 19:00:00
47,0.03038869257950538,-0.05698393077873921,2019-11-25 19:00:00
48,0.13133097762073034,-0.045117428924598336,2019-12-02 19:00:00
49,-0.0014134275618373755,0.06736711990111234,2019-12-09 19:00:00
50,-0.02561837455830389,-0.12855377008652663,2019-12-16 19:00:00
51,-0.18197879858657243,-0.0233312731767615,2019-12-23 19:00:00
52,-0.13427561837455831,-0.2669962917181707,2019-12-30 19:00:00
53,0.27502944640753824,0.0012360939431396083,2020-01-06 19:00:00
54,0.2067137809187279,0.03127317676143388,2020-01-13 19:00:00
55,0.24823321554770317,0.11155747836835592,2020-01-20 19:00:00
56,0.059061080262493716,0.14307787391841773,2020-01-27 19:00:00
57,0.38398115429917556,-0.006180469715698463,2020-02-03 19:00:00
58,0.2643109540636043,0.08578491965389366,2020-02-10 19:00:00
59,0.09952885747938758,-0.10846724351050689,2020-02-17 19:00:00
60,-0.07824331145885925,-0.010197775030902348,2020-02-24 19:00:00
61,0.33316506814740027,0.060833480487374046,2020-03-02 19:00:00
62,-0.00441696113074205,-0.26576019777503096,2020-03-09 20:00:00
63,0.30565371024734983,-0.1470951792336218,2020-03-16 20:00:00
64,0.26501766784452296,-0.17268232385661317,2020-03-23 20:00:00
65,0.10600706713780919,-0.16229913473423985,2020-03-30 20:00:00
66,0.33498233215547707,-0.13288009888751548,2020-04-06 20:00:00
67,0.17785630153121312,-0.20271940667490734,2020-04-13 20:00:00
68,-0.03250883392226144,-0.3542954264524104,2020-04-20 20:00:00
69,-0.1333922261484099,-0.4020395550061805,2020-04-27 20:00:00
70,,,2020-05-04 20:00:00
71,0.14487632508833923,-0.26946847960445,2020-05-11 20:00:00
72,0.0989399293286219,-0.22682323856613107,2020-05-18 20:00:00
73,,,2020-05-25 20:00:00
74,,,2020-06-01 20:00:00
75,0.1295641931684335,-0.2750309023485785,2020-06-08 20:00:00
76,-0.4452296819787986,-0.29542645241038323,2020-06-15 20:00:00
77,0.030035335689045935,-0.2639060568603214,2020-06-22 20:00:00
78,,,2020-06-29 20:00:00
79,-0.0715547703180212,-0.022867737948084124,2020-07-06 20:00:00
80,-0.0706713780918728,-0.27317676143386904,2020-07-13 20:00:00
81,0.6360424028268551,0.01606922126081575,2020-07-20 20:00:00
82,-0.1012956419316843,-0.40049443757725595,2020-07-27 20:00:00
83,-0.2862190812720848,-0.6124845488257108,2020-08-03 20:00:00
84,-0.15547703180212014,-0.3288009888751546,2020-08-10 20:00:00
85,-0.24028268551236748,-0.44004944375772564,2020-08-17 20:00:00
86,,,2020-08-24 20:00:00
87,0.054770318021201414,-0.10074165636588386,2020-08-31 20:00:00
88,,,2020-09-07 20:00:00
89,0.3345111896348646,-0.22558714462299137,2020-09-14 20:00:00
90,0.9929328621908127,-0.029820766378244816,2020-09-21 20:00:00
91,,,2020-09-28 20:00:00
92,-0.3833922261484099,-0.4344870210135971,2020-10-05 20:00:00
93,0.6466431095406361,-0.42150803461063047,2020-10-12 20:00:00
94,0.09540636042402827,-0.24721878862793578,2020-10-19 20:00:00
95,,,2020-10-26 20:00:00
96,-0.08833922261484099,-0.6440049443757726,2020-11-02 19:00:00
97,0.127208480565371,-0.23275648949320152,2020-11-09 19:00:00
98,-0.7773851590106007,-0.4252163164400495,2020-11-16 19:00:00
99,-0.2508833922261484,-0.07911001236093947,2020-11-23 19:00:00
100,0.1501766784452297,-0.24119283065512984,2020-11-30 19:00:00
101,-0.2570671378091873,-0.2131025957972807,2020-12-07 19:00:00
102,0.4607773851590105,-0.045117428924598336,2020-12-14 19:00:00
103,0.17196702002355718,-0.28152039555006186,2020-12-21 19:00:00
104,0.24734982332155478,-0.2583436341161929,2020-12-28 19:00:00
